date,month,year,arganzuela_extranjeros,arganzuela_nacionales,arganzuela_total,barajas_extranjeros,barajas_nacionales,barajas_total,carabanchel_extranjeros,carabanchel_nacionales,carabanchel_total,centro_extranjeros,centro_nacionales,centro_total,chamartin_extranjeros,chamartin_nacionales,chamartin_total,chamberi_extranjeros,chamberi_nacionales,chamberi_total,ciudad_lineal_extranjeros,ciudad_lineal_nacionales,ciudad_lineal_total,fuencarral_extranjeros,fuencarral_nacionales,fuencarral_total,hortaleza_extranjeros,hortaleza_nacionales,hortaleza_total,latina_extranjeros,latina_nacionales,latina_total,madrid_extranjeros,madrid_nacionales,madrid_total,moncloa_extranjeros,moncloa_nacionales,moncloa_total,moratalaz_extranjeros,moratalaz_nacionales,moratalaz_total,puente_vallecas_extranjeros,puente_vallecas_nacionales,puente_vallecas_total,retiro_extranjeros,retiro_nacionales,retiro_total,salamanca_extranjeros,salamanca_nacionales,salamanca_total,san_blas_extranjeros,san_blas_nacionales,san_blas_total,tetuan_extranjeros,tetuan_nacionales,tetuan_total,usera_extranjeros,usera_nacionales,usera_total,vicalvaro_extranjeros,vicalvaro_nacionales,vicalvaro_total,villa_vallecas_extranjeros,villa_vallecas_nacionales,villa_vallecas_total,villaverde_extranjeros,villaverde_nacionales,villaverde_total
2018-05-01,5,2018,14795,138912,153707,4405,44077,48482,45966,204641,250607,29343,103187,132530,13281,132347,145628,14934,124141,139075,29219,186673,215892,19864,225079,244943,17630,168272,185902,35249,202125,237374,435026,2811189,3246215,11760,106838,118598,8244,86537,94781,39051,193712,232763,8642,110813,119455,18269,127409,145678,18134,139581,157715,28710,128230,156940,29218,109107,138325,8356,63113,71469,12590,96308,108898,27366,120087,147453
2018-06-01,6,2018,14755,138670,153425,4440,44106,48546,46139,204413,250552,29237,102953,132190,13310,132260,145570,14895,123986,138881,29335,186524,215859,19939,224944,244883,17703,168328,186031,35347,201860,237207,436308,2808570,3244878,11833,106772,118605,8365,86444,94809,39330,193496,232826,8657,110676,119333,18194,127276,145470,18235,139365,157600,28672,128062,156734,29364,109002,138366,8346,63141,71487,12738,96298,109036,27474,119994,147468
2018-07-01,7,2018,14780,138635,153415,4422,44075,48497,46316,204355,250671,29120,102764,131884,13281,132149,145430,14833,123880,138713,29325,186359,215684,19964,225029,244993,17749,168347,186096,35414,201669,237083,436716,2807487,3244203,11830,106862,118692,8352,86334,94686,39466,193438,232904,8656,110605,119261,18079,127225,145304,18288,139253,157541,28730,127973,156703,29494,109010,138504,8299,63118,71417,12772,96387,109159,27546,120020,147566
2018-08-01,8,2018,14831,138687,153518,4433,44178,48611,46671,204416,251087,29234,102730,131964,13348,132216,145564,14882,123955,138837,29485,186424,215909,20164,225341,245505,17863,168594,186457,35672,201670,237342,439560,2808746,3248306,11872,106889,118761,8396,86294,94690,39852,193528,233380,8683,110530,119213,18151,127277,145428,18487,139318,157805,28883,128086,156969,29642,108993,138635,8337,63111,71448,12904,96481,109385,27770,120028,147798
2018-09-01,9,2018,14932,138629,153561,4486,44213,48699,47176,204572,251748,29413,102831,132244,13421,132194,145615,14936,123986,138922,29775,186430,216205,20266,225439,245705,18155,168773,186928,36009,201621,237630,443461,2809457,3252918,11942,106806,118748,8455,86243,94698,40217,193580,233797,8778,110509,119287,18321,127309,145630,18707,139264,157971,29053,128133,157186,29899,108991,138890,8468,63205,71673,13049,96661,109710,28003,120068,148071
2018-10-01,10,2018,14928,138715,153643,4499,44297,48796,47399,204817,252216,29553,102948,132501,13474,132288,145762,15147,124105,139252,29857,186342,216199,20345,225719,246064,18376,169035,187411,36152,201603,237755,445990,2811282,3257272,12051,106886,118937,8465,86202,94667,40619,193625,234244,8879,110594,119473,18551,127342,145893,18864,139288,158152,29136,128182,157318,29972,109041,139013,8487,63254,71741,13128,96807,109935,28108,120192,148300
2018-11-01,11,2018,15099,138681,153780,4534,44351,48885,48068,204605,252673,30195,103266,133461,13665,132266,145931,15505,124058,139563,30186,186255,216441,20604,225753,246357,18740,169145,187885,36567,201461,238028,452622,2810488,3263110,12332,107018,119350,8664,86091,94755,41177,193305,234482,9050,110550,119600,19094,127281,146375,19091,139166,158257,29565,128087,157652,30301,109012,139313,8625,63260,71885,13258,96830,110088,28302,120047,148349
2018-12-01,12,2018,15363,138841,154204,4639,44432,49071,48825,204608,253433,30822,103920,134742,13866,132312,146178,15849,124071,139920,30627,186189,216816,20911,225786,246697,19107,169419,188526,37067,201559,238626,460363,2812159,3272522,12576,107114,119690,8809,86045,94854,41855,193252,235107,9215,110489,119704,19507,127213,146720,19423,139148,158571,30090,128239,158329,30717,109043,139760,8755,63357,72112,13493,96965,110458,28847,120157,149004
2019-01-01,1,2019,15365,138899,154264,4637,44433,49070,49167,204630,253797,30917,104397,135314,13850,132381,146231,15851,124063,139914,30780,186081,216861,20957,225683,246640,19173,169521,188694,37342,201559,238901,462429,2812766,3275195,12610,107179,119789,8873,85945,94818,42178,193240,235418,9279,110408,119687,19427,127151,146578,19506,139096,158602,30152,128342,158494,30884,109025,139909,8772,63522,72294,13591,97052,110643,29118,120159,149277
2019-02-01,2,2019,15324,139052,154376,4661,44506,49167,49316,204557,253873,30901,104917,135818,13906,132411,146317,15759,124038,139797,30983,186077,217060,21001,225821,246822,19329,169739,189068,37384,201322,238706,463717,2813673,3277390,12503,107273,119776,8979,85921,94900,42420,193225,235645,9292,110461,119753,19329,127154,146483,19611,139026,158637,30174,128193,158367,30954,108855,139809,8867,63721,72588,13739,97211,110950,29285,120193,149478
2019-03-01,3,2019,15343,139055,154398,4661,44498,49159,49664,204389,254053,31085,105285,136370,13958,132408,146366,15777,123943,139720,31074,185983,217057,21075,225746,246821,19409,169777,189186,37532,201295,238827,465964,2813424,3279388,12462,107306,119768,9077,85912,94989,42815,193190,236005,9314,110481,119795,19425,127076,146501,19691,138891,158582,30208,128065,158273,31119,108794,139913,8947,63725,72672,13841,97307,111148,29487,120298,149785
2019-04-01,4,2019,15395,139029,154424,4695,44578,49273,50046,204429,254475,31120,105569,136689,14015,132530,146545,15814,123985,139799,31207,185942,217149,21211,225794,247005,19545,170047,189592,37749,201210,238959,468600,2814511,3283111,12530,107339,119869,9156,85857,95013,43066,193258,236324,9384,110475,119859,19534,127051,146585,19781,138860,158641,30318,128170,158488,31341,108835,140176,9053,63786,72839,13925,97441,111366,29715,120326,150041
2019-05-01,5,2019,15496,139099,154595,4747,44646,49393,50614,204612,255226,31381,105755,137136,14086,132675,146761,15897,123964,139861,31584,186058,217642,21382,226031,247413,19752,170378,190130,38150,201428,239578,473351,2816997,3290348,12646,107379,120025,9276,85901,95177,43646,193371,237017,9440,110486,119926,19648,127019,146667,19994,138965,158959,30618,128338,158956,31800,108910,140710,9104,63860,72964,14029,97620,111649,30061,120502,150563
2019-06-01,6,2019,15601,139246,154847,4806,44720,49526,51230,204976,256206,31738,106122,137860,14240,132821,147061,15988,123983,139971,31855,186257,218112,21565,226399,247964,19894,170773,190667,38703,201543,240246,478368,2820647,3299015,12780,107454,120234,9346,85942,95288,44174,193592,237766,9535,110563,120098,19811,127018,146829,20290,139158,159448,30784,128483,159267,32157,108994,141151,9167,63924,73091,14238,97866,112104,30466,120813,151279
2019-07-01,7,2019,15734,139418,155152,4844,44803,49647,51841,205276,257117,32020,106532,138552,14324,132918,147242,16017,124115,140132,32232,186490,218722,21805,226779,248584,20094,171237,191331,39122,201692,240814,483343,2825125,3308468,12881,107667,120548,9504,86033,95537,44783,193789,238572,9595,110562,120157,19895,127121,147016,20561,139399,159960,31082,128770,159852,32510,109136,141646,9221,64077,73298,14453,98277,112730,30825,121034,151859
2019-08-01,8,2019,15827,139550,155377,4916,44848,49764,52360,205457,257817,32409,106628,139037,14457,132978,147435,16130,124159,140289,32573,186587,219160,22074,227085,249159,20297,171719,192016,39518,201647,241165,488508,2827719,3316227,13000,107849,120849,9649,86051,95700,45329,193929,239258,9656,110583,120239,20118,127155,147273,20853,139529,160382,31394,129027,160421,32795,109149,141944,9333,64172,73505,14641,98481,113122,31179,121136,152315
2019-09-01,9,2019,15920,139724,155644,4979,44876,49855,52981,205715,258696,32774,106803,139577,14498,133156,147654,16280,124230,140510,32874,186808,219682,22169,227242,249411,20534,172013,192547,39976,201776,241752,493531,2831090,3324621,13129,107903,121032,9741,86084,95825,45882,194197,240079,9795,110670,120465,20276,127286,147562,21262,139616,160878,31598,129290,160888,33158,109323,142481,9389,64294,73683,14818,98662,113480,31498,121422,152920
2019-10-01,10,2019,15889,139540,155429,5017,44949,49966,52904,205403,258307,32708,106336,139044,14459,133049,147508,16355,124176,140531,32864,186519,219383,22249,227271,249520,20671,172213,192884,40021,201437,241458,494071,2828497,3322568,13161,108011,121172,9793,85968,95761,45846,193761,239607,9820,110617,120437,20320,127042,147362,21429,139475,160904,31628,129161,160789,33043,109103,142146,9424,64376,73800,14960,98727,113687,31510,121363,152873
2019-11-01,11,2019,16226,139626,155852,5085,44985,50070,54119,205425,259544,33702,106591,140293,14806,133010,147816,16874,124254,141128,33307,186454,219761,22657,227425,250082,21030,172359,193389,40727,201327,242054,504614,2829675,3334289,13586,108156,121742,9961,85870,95831,46780,193746,240526,10086,110582,120668,21104,126973,148077,21855,139449,161304,32203,129338,161541,33524,109031,142555,9610,64469,74079,15299,98966,114265,32073,121639,153712
2019-12-01,12,2019,16369,139699,156068,5086,45056,50142,54799,205619,260418,34098,106762,140860,14913,133053,147966,17088,124239,141327,33772,186659,220431,22895,227592,250487,21234,172496,193730,41230,201339,242569,510463,2831553,3342016,13737,108320,122057,10077,85825,95902,47371,193893,241264,10206,110610,120816,21393,126956,148349,22149,139434,161583,32486,129423,161909,33948,109094,143042,9628,64544,74172,15472,99160,114632,32512,121780,154292
2020-01-01,1,2020,16453,139723,156176,5076,45082,50158,55371,205747,261118,34232,106759,140991,14931,133108,148039,17165,124232,141397,33956,186642,220598,23018,227618,250636,21311,172522,193833,41594,201329,242923,513995,2831899,3345894,13798,108366,122164,10133,85774,95907,47852,193814,241666,10256,110617,120873,21483,126922,148405,22294,139378,161672,32599,129392,161991,34287,109078,143365,9667,64568,74235,15560,99272,114832,32959,121956,154915
2020-02-01,2,2020,16429,139803,156232,5104,45165,50269,55683,205797,261480,34145,106645,140790,14995,133142,148137,17166,124218,141384,34090,186713,220803,23087,227804,250891,21465,172738,194203,41858,201455,243313,515773,2832763,3348536,13706,108508,122214,9974,85754,95728,48245,193720,241965,10225,110631,120856,21464,126800,148264,22468,139422,161890,32517,129429,161946,34418,108953,143371,9747,64672,74419,15719,99454,115173,33268,121940,155208
2020-03-01,3,2020,16548,139912,156460,5130,45165,50295,56198,205821,262019,34391,106779,141170,15073,133034,148107,17256,124257,141513,34303,186661,220964,23243,227936,251179,21622,172868,194490,42272,201337,243609,520470,2833309,3353779,13823,108562,122385,10095,85693,95788,48855,193820,242675,10280,110557,120837,21594,126797,148391,22800,139442,162242,32757,129538,162295,34823,108921,143744,9827,64726,74553,15953,99445,115398,33627,122038,155665
2020-04-01,4,2020,16597,139820,156417,5119,45167,50286,56312,205695,262007,34478,106640,141118,15073,132987,148060,17275,124141,141416,34336,186580,220916,23261,227855,251116,21690,172808,194498,42364,201199,243563,521326,2831392,3352718,13827,108427,122254,10121,85647,95768,49059,193673,242732,10293,110466,120759,21640,126665,148305,22780,139303,162083,32833,129421,162254,34873,108814,143687,9812,64755,74567,16014,99361,115375,33569,121968,155537
2020-05-01,5,2020,16549,139760,156309,5098,45189,50287,56158,205452,261610,34448,106512,140960,15039,132918,147957,17230,124024,141254,34266,186461,220727,23275,227788,251063,21672,172842,194514,42271,200943,243214,520224,2829222,3349446,13798,108285,122083,10084,85508,95592,48950,193456,242406,10264,110325,120589,21616,126509,148125,22706,139209,161915,32727,129330,162057,34793,108697,143490,9797,64742,74539,15992,99374,115366,33491,121898,155389
2020-06-01,6,2020,16575,139919,156494,5109,45236,50345,56274,205585,261859,34550,106610,141160,15051,132992,148043,17248,124009,141257,34338,186511,220849,23328,228054,251382,21717,173140,194857,42332,201065,243397,521210,2831526,3352736,13837,108380,122217,10107,85557,95664,49045,193661,242706,10294,110375,120669,21640,126519,148159,22754,139304,162058,32772,129432,162204,34843,108801,143644,9824,64812,74636,16036,99544,115580,33536,122020,155556
2020-07-01,7,2020,16465,139545,156010,5122,45198,50320,55986,204815,260801,34371,105989,140360,14967,132516,147483,17080,123436,140516,34163,185955,220118,23225,227430,250655,21659,172870,194529,42148,200299,242447,518765,2822508,3341273,13790,108090,121880,10070,85305,95375,48845,193056,241901,10241,109997,120238,21385,125964,147349,22713,138983,161696,32555,128678,161233,34674,108467,143141,9831,64746,74577,16055,99440,115495,33420,121729,155149
2020-08-01,8,2020,16514,139135,155649,5149,45088,50237,56546,204231,260777,34682,105904,140586,15060,132231,147291,17106,123156,140262,34395,185297,219692,23271,226796,250067,21739,172530,194269,42496,199766,242262,522228,2814964,3337192,13887,107743,121630,10096,85012,95108,49167,192278,241445,10260,109710,119970,21478,125569,147047,22919,138524,161443,32753,128416,161169,34958,108249,143207,9910,64665,74575,16108,99121,115229,33734,121543,155277
2020-09-01,9,2020,16563,138946,155509,5155,45089,50244,56885,203945,260830,34925,105876,140801,15083,132104,147187,17174,122898,140072,34434,185012,219446,23300,226575,249875,21785,172446,194231,42718,199510,242228,524395,2812277,3336672,13877,107610,121487,10093,84892,94985,49400,192034,241434,10280,109538,119818,21575,125371,146946,23004,138316,161320,32849,128429,161278,35166,108237,143403,9973,64858,74831,16148,99140,115288,34008,121451,155459
2020-10-01,10,2020,16484,139014,155498,5157,45071,50228,56556,203691,260247,35057,105588,140645,14937,131955,146892,17148,122782,139930,34253,184707,218960,23055,226380,249435,21669,172471,194140,42448,199267,241715,522134,2809667,3331801,13802,107637,121439,10092,84693,94785,49175,191570,240745,10252,109391,119643,21397,125229,146626,22960,138273,161233,32597,128289,160886,35056,108062,143118,9966,65005,74971,16154,99121,115275,33919,121471,155390
2020-11-01,11,2020,16668,138876,155544,5185,45139,50324,56804,203632,260436,35854,105680,141534,15063,131917,146980,17330,122688,140018,34274,184456,218730,23086,226343,249429,21715,172315,194030,42729,199092,241821,525542,2808409,3333951,13943,107645,121588,10120,84576,94696,49352,191273,240625,10344,109290,119634,21737,125083,146820,23051,138161,161212,32753,128211,160964,35238,108051,143289,10024,65275,75299,16225,99162,115387,34047,121544,155591
2020-12-01,12,2020,16774,138513,155287,5174,45111,50285,56926,203222,260148,36512,105431,141943,15154,131425,146579,17459,122213,139672,34320,183825,218145,23055,225916,248971,21803,172322,194125,42929,198719,241648,528043,2803007,3331050,14079,107439,121518,10130,84332,94462,49506,190942,240448,10374,108910,119284,22009,124770,146779,23179,137927,161106,32911,127912,160823,35298,108004,143302,10087,65561,75648,16265,99034,115299,34099,121479,155578
2021-01-01,1,2021,16159,137287,153446,5011,44851,49862,54797,201875,256672,35749,104377,140126,14669,130273,144942,16970,120980,137950,33179,182383,215562,22146,224414,246560,20982,171272,192254,41441,197370,238811,510215,2782734,3292949,13677,106700,120377,9758,83661,93419,47768,189600,237368,9996,108208,118204,21426,123729,145155,22296,137116,159412,31700,126818,158518,34100,107309,141409,9808,65300,75108,15717,98385,114102,32866,120826,153692
2021-02-01,2,2021,16809,138000,154809,5194,45072,50266,56719,202816,259535,37005,105094,142099,15216,131014,146230,17534,121633,139167,34396,183226,217622,22967,225417,248384,21783,172006,193789,42891,198122,241013,528388,2795659,3324047,14127,107212,121339,10124,83989,94113,49404,190332,239736,10390,108616,119006,22277,124421,146698,23053,137685,160738,32889,127501,160390,35220,107735,142955,10136,65647,75783,16239,98823,115062,34015,121298,155313
2021-03-01,3,2021,16089,137885,153974,5005,45060,50065,54525,202865,257390,35566,105093,140659,14478,130922,145400,16565,121431,137996,32973,183150,216123,21845,225316,247161,20979,171966,192945,41116,197960,239076,507115,2794776,3301891,13363,107351,120714,9730,83876,93606,47714,190253,237967,9939,108448,118387,21080,124236,145316,22306,137753,160059,31416,127365,158781,33907,107718,141625,9895,65926,75821,15825,98860,114685,32799,121342,154141
2021-04-01,4,2021,16186,137788,153974,5026,45075,50101,54957,202902,257859,36297,105102,141399,14664,130955,145619,16771,121324,138095,33298,183087,216385,22052,225382,247434,21223,172040,193263,41519,197884,239403,512246,2794435,3306681,13502,107393,120895,9786,83804,93590,48031,190196,238227,10079,108291,118370,21417,124186,145603,22489,137659,160148,31776,127230,159006,34173,107742,141915,10011,66175,76186,15894,98811,114705,33095,121409,154504
2021-05-01,5,2021,16189,137682,153871,4994,45143,50137,54715,202792,257507,36305,105015,141320,14649,130791,145440,16772,121100,137872,33156,183050,216206,21886,225615,247501,21289,172197,193486,41445,197797,239242,511293,2794335,3305628,13491,107346,120837,9690,83766,93456,47871,190206,238077,10077,108201,118278,21452,124058,145510,22547,137734,160281,31691,127077,158768,34085,107769,141854,10044,66579,76623,15894,98921,114815,33051,121496,154547
2021-06-01,6,2021,16136,137513,153649,4965,45128,50093,54376,202464,256840,36207,104794,141001,14584,130597,145181,16726,120896,137622,33012,182603,215615,21705,225461,247166,21242,172071,193313,41152,197519,238671,508637,2790780,3299417,13424,107319,120743,9676,83627,93303,47442,189820,237262,10033,108003,118036,21393,123848,145241,22421,137624,160045,31535,126796,158331,33842,107696,141538,10057,66829,76886,15797,98821,114618,32912,121351,154263
2021-07-01,7,2021,16205,137646,153851,4987,45198,50185,54690,202660,257350,36519,104804,141323,14628,130623,145251,16866,120855,137721,33140,182650,215790,21786,225669,247455,21343,172352,193695,41271,197678,238949,511139,2793204,3304343,13523,107509,121032,9733,83499,93232,47465,189975,237440,10183,108100,118283,21642,124069,145711,22490,137542,160032,31692,126882,158574,33980,107709,141689,10103,67323,77426,15867,98972,114839,33026,121489,154515
2021-08-01,8,2021,16240,137557,153797,4975,45183,50158,54620,202550,257170,36805,104665,141470,14645,130404,145049,16947,120846,137793,33104,182453,215557,21859,225530,247389,21404,172338,193742,41345,197524,238869,511736,2791629,3303365,13549,107509,121058,9695,83346,93041,47458,189772,237230,10221,108025,118246,21750,124025,145775,22436,137359,159795,31686,126862,158548,33883,107701,141584,10161,67569,77730,15961,98937,114898,32992,121474,154466
2021-09-01,9,2021,16324,137562,153886,4992,45268,50260,54774,202595,257369,36962,104653,141615,14662,130351,145013,17056,120835,137891,33183,182389,215572,21914,225380,247294,21560,172349,193909,41391,197466,238857,513604,2791835,3305439,13579,107495,121074,9759,83295,93054,47580,189864,237444,10272,108045,118317,21918,124034,145952,22519,137355,159874,31800,126822,158622,33935,107726,141661,10273,67861,78134,16074,99013,115087,33077,121477,154554
2021-10-01,10,2021,16272,137420,153692,4983,45292,50275,54677,202329,257006,37103,104409,141512,14697,130381,145078,17207,120879,138086,33123,182161,215284,21891,225352,247243,21686,172431,194117,41267,197379,238646,514019,2790682,3304701,13645,107428,121073,9756,83149,92905,47528,189632,237160,10259,108042,118301,22353,124022,146375,22460,137117,159577,31662,126843,158505,33847,107775,141622,10297,68112,78409,16146,99029,115175,33160,121500,154660
2021-11-01,11,2021,16432,137293,153725,5017,45226,50243,54932,201949,256881,37763,104196,141959,14933,130342,145275,17560,120796,138356,33270,181845,215115,22074,225232,247306,21883,172280,194163,41575,196989,238564,518570,2787211,3305781,13780,107298,121078,9815,83007,92822,47664,189130,236794,10431,107955,118386,22933,123859,146792,22674,136979,159653,31981,126629,158610,33864,107599,141463,10445,68373,78818,16285,98936,115221,33259,121298,154557
2021-12-01,12,2021,16688,137294,153982,5110,45249,50359,55700,201932,257632,38286,104150,142436,15135,130342,145477,17918,120865,138783,33772,181769,215541,22413,225388,247801,22198,172370,194568,42041,196944,238985,525986,2788150,3314136,13955,107357,121312,9966,83000,92966,48287,189225,237512,10574,107972,118546,23358,123848,147206,23019,136966,159985,32413,126640,159053,34306,107731,142037,10666,68769,79435,16516,98957,115473,33665,121382,155047
2022-01-01,1,2022,16381,136646,153027,5072,45144,50216,55238,201045,256283,37386,102797,140183,14915,129755,144670,17616,120113,137729,33569,181044,214613,22235,224624,246859,21999,171798,193797,41700,196080,237780,520240,2775793,3296033,13727,107019,120746,9939,82720,92659,47938,188398,236336,10432,107540,117972,22803,123138,145941,22859,136432,159291,32027,125829,157856,33875,107345,141220,10619,68823,79442,16473,98635,115108,33437,120868,154305
2022-02-01,2,2022,16455,136978,153433,5112,45140,50252,55809,201405,257214,37539,102995,140534,14940,130000,144940,17595,120334,137929,33893,181259,215152,22420,224857,247277,22170,172038,194208,42016,196301,238317,524022,2779892,3303914,13661,107116,120777,9996,82770,92766,48381,188681,237062,10467,107671,118138,22828,123345,146173,23173,136520,159693,32254,126085,158339,34116,107494,141610,10750,69071,79821,16707,98772,115479,33740,121060,154800
2022-03-01,3,2022,16495,136894,153389,4971,43652,48623,56224,201129,257353,37509,102850,140359,15029,129948,144977,17644,120270,137914,34231,181083,215314,22526,224782,247308,22518,173476,195994,42409,196122,238531,527773,2778399,3306172,13613,107100,120713,10055,82670,92725,48835,188625,237460,10514,107596,118110,22899,123125,146024,23555,136460,160015,32453,126002,158455,34273,107382,141655,10984,69374,80358,16890,98770,115660,34146,121089,155235
2022-04-01,4,2022,16599,136919,153518,5060,43642,48702,57587,201271,258858,37802,102693,140495,15160,129868,145028,17918,120316,138234,34990,181083,216073,23049,224924,247973,22975,173876,196851,43372,196239,239611,537784,2779905,3317689,13818,107174,120992,10289,82628,92917,50061,188677,238738,10644,107662,118306,23097,122918,146015,24081,136507,160588,32846,126137,158983,34868,107463,142331,11336,69722,81058,17226,98973,116199,35006,121213,156219
2022-05-01,5,2022,16794,136945,153739,5127,43723,48850,58556,201461,260017,38046,102632,140678,15341,129869,145210,18091,120286,138377,35494,181314,216808,23416,225188,248604,23171,174091,197262,44014,196469,240483,545008,2781997,3327005,13950,107268,121218,10487,82636,93123,50807,188788,239595,10753,107663,118416,23272,122940,146212,24474,136513,160987,33254,126251,159505,35356,107522,142878,11521,70067,81588,17440,99036,116476,35644,121335,156979
2022-06-01,6,2022,16935,137002,153937,5131,43708,48839,59571,201746,261317,38300,102701,141001,15420,129765,145185,18236,120278,138514,35954,181341,217295,23559,225213,248772,23519,174274,197793,44640,196589,241229,551728,2783163,3334891,14069,107353,121422,10707,82619,93326,51572,188771,240343,10880,107639,118519,23400,122868,146268,24961,136602,161563,33542,126335,159877,35776,107562,143338,11774,70253,82027,17640,99067,116707,36142,121477,157619
2022-07-01,7,2022,16872,137201,154073,5101,43770,48871,59820,201934,261754,38139,102714,140853,15380,129918,145298,18204,120452,138656,36043,182216,218259,23662,225433,249095,23709,174527,198236,44784,196717,241501,552639,2786656,3339295,14016,107564,121580,10703,82646,93349,51775,188884,240659,10843,107707,118550,23277,122831,146108,25144,136658,161802,33605,126504,160109,35933,107573,143506,11768,70570,82338,17677,99209,116886,36184,121628,157812
2022-08-01,8,2022,17002,137198,154200,5121,43725,48846,60497,201999,262496,38431,102712,141143,15502,129881,145383,18364,120394,138758,36517,182331,218848,23884,225503,249387,23929,174636,198565,45104,196765,241869,557663,2787348,3345011,14200,107669,121869,10805,82589,93394,52372,188936,241308,10933,107612,118545,23447,122777,146224,25367,136590,161957,33876,126573,160449,36106,107589,143695,11827,70750,82577,17824,99316,117140,36555,121803,158358
2022-09-01,9,2022,16931,136794,153725,5103,43631,48734,60672,201365,262037,38030,101994,140024,15398,129404,144802,18325,119870,138195,36665,181901,218566,23868,225005,248873,23975,174375,198350,45272,196195,241467,558130,2779437,3337567,14163,107463,121626,10889,82405,93294,52595,188507,241102,10903,107360,118263,23269,122229,145498,25544,136169,161713,33914,126013,159927,36159,107255,143414,11815,70855,82670,17910,99119,117029,36730,121523,158253
2022-10-01,10,2022,17046,137072,154118,5129,43679,48808,61228,201742,262970,38403,102320,140723,15659,129709,145368,18738,120143,138881,37060,182324,219384,24104,225184,249288,24317,174609,198926,45599,196379,241978,564242,2784134,3348376,14431,107666,122097,11012,82387,93399,53186,188677,241863,11050,107394,118444,23924,122523,146447,25739,136263,162002,34256,126470,160726,36302,107333,143635,11864,71165,83029,18093,99322,117415,37102,121768,158870
2022-11-01,11,2022,17228,137143,154371,5161,43719,48880,61772,201767,263539,39004,102401,141405,15857,129773,145630,19091,120283,139374,37469,182377,219846,24380,225221,249601,24510,174631,199141,45952,196330,242282,570312,2785263,3355575,14637,107723,122360,11156,82290,93446,53740,188791,242531,11287,107352,118639,24453,122602,147055,25892,136249,162141,34514,126649,161163,36532,107271,143803,11984,71407,83391,18293,99381,117674,37400,121898,159298
2022-12-01,12,2022,17111,136621,153732,5137,43591,48728,61320,201028,262348,38466,101458,139924,15812,129218,145030,18989,119669,138658,37399,182564,219963,24234,224519,248753,24348,174129,198477,45684,196054,241738,566593,2775442,3342035,14574,107450,122024,11089,81980,93069,53336,187900,241236,11240,106946,118186,24190,121843,146033,25737,135626,161363,34177,125989,160166,36096,106703,142799,11990,71508,83498,18265,99127,117392,37399,121514,158913
